Publishing Date,Book Name,Author,Language,Author Rating,Rating Group,Book Average Rating,Book Ratings Count,Genre,Gross Sales,Publisher Revenue, Sale Price , Price Range ,Sales Rank,Publisher ,Units Sold
2000,The Miserable Mill,"Lemony Snicket, Brett Helquist",english - US,Intermediate,4.00,3.83,"101,325",fiction," $1,395.73 ", $837.44 , $10.99 , $ 10 - 11 ,716,Penglishuin Group (USA) LLC,"46,872"
2000,Prodigal Summer,Barbarabic Kingsolver,english - US,Intermediate,4.00,3.98,"78,529",fiction, $260.69 , $156.41 , $1.99 , $ 1 - 2 ,696,Simon and Schuster Digital Sales Inc,"49,896"
2000,Because of Winn-Dixie,"Kate DiCamillo, Chris Sheban",english,Intermediate,4.00,4.00,"154,476",fiction," $1,522.62 ", $-   , $0.99 , $ 0 - 1 ,65,"Amazon Digital Services,  Inc.","1,538"
2000,Plain Truth,Jodi Picoult,english,Intermediate,4.00,3.97,"128,406",fiction," $1,188.00 ", $-   , $0.99 , $ 0 - 1 ,87,"Amazon Digital Services,  Inc.","1,200"
2000,The Wide Window,"Lemony Snicket, Brett Helquist",english,Intermediate,4.00,3.91,"118,624",fiction, $161.37 , $96.82 , $0.99 , $ 0 - 1 ,554,"Amazon Digital Services,  Inc.","4,401"
2000,The Austere Academy,"Lemony Snicket, Brett Helquist",english,Intermediate,4.00,3.97,"99,311",fiction, $116.82 , $-   , $0.99 , $ 0 - 1 ,799,"Amazon Digital Services,  Inc.","36,288"
2000,The Prayer of Jabez:  Breaking Through to the Blessed Life,Bruce H. Wilkinson,english,Intermediate,4.00,3.92,"57,468",nonfiction, $899.10 , $539.46 , $8.10 , $ 8 - 9 ,1061,"Amazon Digital Services,  Inc.","4,400"
2000,The Blind Assassin,Margaret Atwood,english,Intermediate,4.00,3.95,"98,464",nonfiction," $1,885.64 "," $1,131.38 ", $7.99 , $ 7 - 8 ,378,HarperCollins Christian Publishing,236
2000,The Brethren,John Grisham,,Intermediate,3.50,3.71,"69,351",fiction, $942.82 , $565.69 , $7.99 , $ 7 - 8 ,820,Penglishuin Group (USA) LLC,"34,992"
2000,Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,english,Intermediate,4.00,4.00,"134,177",fiction," $11,057.54 "," $6,634.52 ", $5.99 , $ 5 - 6 ,45,HarperCollins Publishers,"1,846"
2000,Persepolis,"Marjane Satrapi, Mattias Ripa",english,Excellent,4.00,4.23,"117,103",fiction," $1,487.02 ", $892.21 , $4.99 , $ 4 - 5 ,321,Random House LLC,298
2000,Drowning Ruth,Christina Schwarz,english,Intermediate,3.50,3.73,"67,768",fiction, $573.85 , $-   , $4.99 , $ 4 - 5 ,911,"Amazon Digital Services,  Inc.","2,916"
2000,Gathering Blue,Lois Lowry,english,Intermediate,4.00,3.80,"114,917",fiction, $997.50 , $-   , $3.99 , $ 3 - 4 ,350,"Amazon Digital Services,  Inc.",250
